"municipio","provincia","ccaa","var_pob_2014_2023","num_infra_nuevas"
"Castellanos de Moriscos","Salamanca","Castilla y León","34.096007178106802","0"
"Sueca","València-Valencia","Comunitat Valenciana","-0.794744092402246","0"
"Tejeda de Tiétar","Cáceres","Extremadura","-11.484918793503500","0"
"Morcín","Asturias","Principado de Asturias","-9.640697260761289","0"
"Pulianas","Granada","Andalucía","3.596720089452111","0"
"San Antonio de Benagéber","València-Valencia","Comunitat Valenciana","32.881709223553905","0"
"Navarrete","La Rioja","La Rioja","2.876480541455160","0"
"Torrechiva","Castelló-Castellón","Comunitat Valenciana","52.000000000000000","0"
"Maçanet de Cabrenys","Girona","Cataluña-Catalunya","-3.969270166453259","0"
"Grisaleña","Burgos","Castilla y León","47.500000000000000","0"
"Castelserás","Teruel","Aragón","-4.216867469879520","0"
"Petilla de Aragón","Navarra","Comunidad Foral de Navarra","-20.000000000000000","0"
"Breda","Girona","Cataluña-Catalunya","3.918954945347910","0"
